MS SubClass,Neighborhood,House Style,Overall Qual,Exterior 1st,Exterior 2nd,Mas Vnr Area,BsmtFin Type 1,Kitchen Qual,Fireplaces,Garage Cars,Garage Area,Misc Val,SalePrice,liveable_sf,bath_total,effective_age
80,Gilbert,SLvl,7,VinylSd,VinylSd,0.0,GLQ,TA,1.0,2.0,400.0,0,180000,1605.0,2.5,10.0
60,Gilbert,2Story,7,VinylSd,VinylSd,180.0,Unf,Gd,1.0,2.0,434.0,0,222500,2035.0,2.5,9.0
60,NoRidge,2Story,9,VinylSd,VinylSd,165.0,Unf,Gd,1.0,3.0,779.0,0,333168,2599.0,2.5,11.0
60,NoRidge,2Story,8,VinylSd,VinylSd,114.0,Unf,Gd,1.0,3.0,962.0,0,355000,2475.0,2.5,12.0
20,NoRidge,1Story,7,VinylSd,VinylSd,338.0,GLQ,Gd,1.0,2.0,527.0,0,260400,2363.3,3.0,14.0
60,NoRidge,2Story,8,HdBoard,HdBoard,362.0,GLQ,Gd,2.0,2.0,712.0,0,325000,3344.4,3.5,15.458000000000002
60,NoRidge,2Story,8,VinylSd,VinylSd,348.0,GLQ,Gd,1.0,3.0,671.0,0,290000,2636.8,2.5,6.664000000000001
60,NoRidge,2Story,7,VinylSd,VinylSd,30.0,Unf,TA,0.0,2.0,486.0,0,221000,1839.0,2.5,12.0
50,NoRidge,1.5Fin,8,VinylSd,VinylSd,579.0,GLQ,Gd,1.0,3.0,666.0,0,410000,3809.2,3.5,14.458000000000002
20,Somerst,1Story,8,VinylSd,VinylSd,226.0,Unf,Gd,1.0,3.0,880.0,0,221500,1595.0,2.0,4.458
20,Somerst,1Story,7,VinylSd,VinylSd,0.0,Unf,Gd,0.0,2.0,676.0,0,204500,1218.0,2.0,0.458
60,Somerst,2Story,7,VinylSd,VinylSd,0.0,GLQ,Gd,0.0,2.0,614.0,0,215200,1563.8,2.5,1.0
20,Somerst,1Story,8,VinylSd,VinylSd,36.0,GLQ,Gd,0.0,2.0,750.0,0,262500,2320.6,3.0,2.0
60,Somerst,2Story,7,VinylSd,VinylSd,0.0,GLQ,Gd,1.0,2.0,678.0,0,254900,2102.4,2.5,5.458
20,Somerst,1Story,6,VinylSd,VinylSd,0.0,GLQ,Gd,1.0,2.0,528.0,0,271500,2457.8,3.0,5.0
60,SawyerW,2Story,7,VinylSd,VinylSd,0.0,GLQ,Gd,0.0,2.0,618.0,0,233000,2543.2,3.5,6.0
60,SawyerW,2Story,7,VinylSd,VinylSd,122.0,Unf,Gd,0.0,2.0,484.0,0,181000,1659.0,2.5,6.0
60,SawyerW,2Story,7,VinylSd,VinylSd,0.0,GLQ,Gd,2.0,2.0,463.0,0,205000,2596.5,3.5,11.664000000000001
120,SawyerW,1Story,6,Plywood,Plywood,0.0,BLQ,TA,1.0,1.0,264.0,0,143000,1386.4,2.0,30.0
60,SawyerW,2Story,6,Wd Sdng,Wd Sdng,0.0,Unf,Gd,1.0,2.0,462.0,400,189000,1845.0,2.5,18.0
120,SawyerW,1Story,6,Plywood,Plywood,0.0,Unf,TA,1.0,1.0,264.0,0,99500,918.0,2.0,31.0
120,SawyerW,1Story,6,Plywood,Plywood,0.0,ALQ,TA,0.0,1.0,264.0,0,125000,1272.8,2.0,26.0
60,SawyerW,2Story,7,HdBoard,HdBoard,0.0,BLQ,Gd,0.0,2.0,457.0,0,194500,2025.4,2.5,11.580000000000002
20,SawyerW,1Story,6,HdBoard,Plywood,0.0,GLQ,TA,0.0,2.0,480.0,0,152000,1333.6,2.0,25.458000000000002
60,SawyerW,2Story,6,HdBoard,HdBoard,130.0,Unf,TA,1.0,2.0,476.0,0,171000,1564.0,2.5,29.458000000000002
30,SawyerW,1Story,5,Wd Sdng,Wd Sdng,0.0,Unf,TA,0.0,1.0,429.0,0,67500,1012.0,1.0,73.74000000000001
90,Sawyer,1.5Fin,6,VinylSd,VinylSd,0.0,None,TA,0.0,2.0,539.0,0,112000,1902.0,2.0,32.0
85,Sawyer,SFoyer,5,HdBoard,HdBoard,0.0,ALQ,Gd,0.0,2.0,576.0,400,148000,1784.3,2.0,30.572000000000003
20,Sawyer,1Story,5,MetalSd,MetalSd,0.0,GLQ,TA,1.0,1.0,336.0,0,138500,1363.0,2.0,21.152
20,Sawyer,1Story,5,MetalSd,MetalSd,31.0,BLQ,TA,0.0,1.0,280.0,0,122000,1215.0,1.0,43.0
20,Sawyer,1Story,5,HdBoard,HdBoard,0.0,ALQ,TA,0.0,1.0,308.0,0,133000,1616.8,2.5,47.0
20,Sawyer,1Story,5,HdBoard,HdBoard,0.0,ALQ,TA,0.0,1.0,260.0,0,127000,1501.3,2.5,21.984
20,Sawyer,1Story,6,Plywood,Plywood,250.0,BLQ,TA,2.0,2.0,461.0,0,169000,2183.5,3.0,20.823999999999998
60,NoRidge,2Story,7,HdBoard,HdBoard,0.0,GLQ,Gd,1.0,2.0,564.0,0,190000,2394.8,3.5,18.0
60,NoRidge,2Story,8,HdBoard,ImStucc,504.0,LwQ,Gd,1.0,3.0,762.0,0,362500,3210.7,3.5,17.0
60,NoRidge,2Story,8,HdBoard,HdBoard,180.0,GLQ,Gd,1.0,3.0,713.0,0,285000,3015.3,3.5,17.458
120,Somerst,1Story,7,MetalSd,MetalSd,0.0,GLQ,Gd,1.0,2.0,506.0,0,260000,2396.6,3.0,5.458
160,Somerst,2Story,7,VinylSd,VinylSd,0.0,Unf,Gd,0.0,2.0,588.0,0,190000,1680.0,2.5,6.0
160,Somerst,2Story,7,MetalSd,MetalSd,120.0,GLQ,Gd,0.0,2.0,480.0,0,155000,1396.0,2.5,6.0
160,Somerst,2Story,7,MetalSd,MetalSd,0.0,Unf,Gd,0.0,2.0,480.0,0,151000,1200.0,2.5,5.458
160,Somerst,2Story,7,MetalSd,MetalSd,0.0,GLQ,Gd,0.0,2.0,480.0,0,149500,1487.0,3.5,5.458
160,Somerst,2Story,6,VinylSd,VinylSd,216.0,GLQ,Gd,0.0,2.0,480.0,0,152000,1499.2,3.5,5.0
20,Somerst,1Story,7,MetalSd,MetalSd,432.0,GLQ,Gd,1.0,2.0,484.0,0,222000,1882.6,3.5,1.0
160,Somerst,2Story,6,MetalSd,MetalSd,216.0,GLQ,Gd,0.0,2.0,440.0,0,177500,1837.6,2.5,10.0
160,Somerst,2Story,6,MetalSd,MetalSd,1159.0,GLQ,Gd,0.0,2.0,440.0,0,177000,1838.2,3.5,10.0
160,Somerst,2Story,7,MetalSd,MetalSd,0.0,ALQ,Gd,0.0,2.0,484.0,0,155000,1838.8,3.5,11.0
160,Somerst,2Story,7,VinylSd,VinylSd,0.0,GLQ,Gd,0.0,2.0,496.0,0,147110,1250.8,2.5,7.0
20,Somerst,1Story,8,CemntBd,CmentBd,0.0,GLQ,Gd,1.0,3.0,852.0,0,267916,2140.4,2.5,0.0
60,Somerst,2Story,8,VinylSd,VinylSd,0.0,GLQ,Gd,1.0,2.0,592.0,0,254000,2186.8,3.5,10.0
120,Greens,1Story,8,Wd Sdng,Wd Sdng,0.0,GLQ,Gd,1.0,2.0,484.0,0,155000,1297.6,2.0,30.0
120,Greens,1Story,8,Wd Sdng,Plywood,0.0,GLQ,Gd,1.0,2.0,484.0,0,206000,1962.4,2.0,32.0
60,Sawyer,2Story,6,HdBoard,Plywood,289.0,GLQ,Gd,0.0,2.0,475.0,0,130500,1852.1,2.5,18.282
20,Somerst,1Story,7,VinylSd,VinylSd,0.0,GLQ,Gd,1.0,2.0,596.0,0,230000,2075.1,3.0,8.0
20,NWAmes,1Story,6,HdBoard,HdBoard,120.0,GLQ,TA,0.0,2.0,535.0,0,218500,2183.2,3.0,43.0
60,NWAmes,2Story,6,MetalSd,MetalSd,0.0,GLQ,Gd,1.0,2.0,660.0,0,243500,3290.9,3.5,17.0
20,NWAmes,1Story,6,Plywood,Plywood,28.0,ALQ,Gd,2.0,2.0,480.0,0,205000,2450.0,3.0,19.992
50,NWAmes,1.5Fin,6,MetalSd,MetalSd,0.0,ALQ,TA,1.0,2.0,678.0,0,212500,2404.1,3.5,32.0
60,NWAmes,2Story,7,HdBoard,HdBoard,42.0,GLQ,TA,1.0,2.0,496.0,500,196500,1989.8,2.5,22.0
20,NWAmes,1Story,6,Plywood,Plywood,0.0,ALQ,Gd,1.0,2.0,676.0,0,197500,2068.4,2.5,19.572
60,NWAmes,2Story,6,MetalSd,MetalSd,0.0,ALQ,TA,0.0,2.0,441.0,0,171000,1875.3,2.0,39.0
20,NAmes,1Story,5,VinylSd,VinylSd,172.0,Rec,TA,0.0,2.0,490.0,0,142250,1720.6,2.5,44.0
20,NWAmes,1Story,6,HdBoard,HdBoard,451.0,ALQ,TA,2.0,2.0,528.0,0,143000,1783.0,2.5,47.0
20,NAmes,1Story,4,Plywood,Plywood,0.0,ALQ,TA,0.0,0.0,0.0,400,128950,1623.3,2.5,51.0
20,NAmes,1Story,5,HdBoard,HdBoard,0.0,BLQ,TA,0.0,2.0,504.0,0,159000,1950.3,2.0,44.0
20,NAmes,1Story,5,Wd Sdng,Plywood,268.0,BLQ,Gd,0.0,2.0,517.0,0,178900,2217.0,3.0,43.0
80,NAmes,SLvl,6,HdBoard,HdBoard,0.0,Unf,TA,0.0,2.0,480.0,0,136300,1775.0,2.0,46.0
80,NAmes,SLvl,5,Wd Sdng,HdBoard,86.0,GLQ,TA,1.0,2.0,484.0,0,180500,1861.8,2.0,46.0
85,NAmes,SFoyer,6,MetalSd,MetalSd,156.0,GLQ,Gd,0.0,2.0,480.0,0,137500,1588.1,2.0,47.0
90,NAmes,1Story,5,HdBoard,HdBoard,144.0,BLQ,TA,0.0,0.0,0.0,0,84900,2778.0,3.5,26.862000000000002
20,NAmes,1Story,5,MetalSd,MetalSd,0.0,GLQ,Gd,0.0,1.0,240.0,0,142125,1832.6,2.0,35.068
50,NAmes,1.5Fin,5,MetalSd,MetalSd,265.0,LwQ,TA,2.0,2.0,400.0,0,197600,2930.0,2.0,30.9
50,NAmes,1.5Fin,6,MetalSd,MetalSd,340.0,Rec,TA,1.0,2.0,470.0,0,172500,1766.0,2.0,60.458000000000006
20,BrkSide,1Story,5,Wd Sdng,Plywood,0.0,BLQ,TA,0.0,0.0,0.0,0,116500,1345.2,2.0,24.900000000000002
30,BrkSide,1Story,3,Wd Sdng,Plywood,0.0,Unf,Fa,0.0,0.0,0.0,450,76500,1306.0,1.0,55.908
20,NAmes,1Story,5,HdBoard,HdBoard,110.0,Rec,TA,0.0,1.0,280.0,0,128000,1513.8,2.0,56.0
80,NAmes,SLvl,6,AsbShng,AsbShng,164.0,BLQ,TA,2.0,1.0,364.0,0,153000,2084.2,2.0,45.786
20,NAmes,1Story,5,HdBoard,HdBoard,200.0,LwQ,TA,1.0,1.0,244.0,0,132000,1646.0,1.0,56.0
85,NAmes,SFoyer,6,HdBoard,HdBoard,216.0,GLQ,Gd,1.0,1.0,315.0,1500,178000,1788.8,2.0,21.236
90,NAmes,2Story,5,MetalSd,MetalSd,361.0,Rec,TA,0.0,2.0,480.0,0,154300,2584.1,2.0,50.0
20,NAmes,1Story,7,Plywood,Plywood,287.0,GLQ,TA,1.0,2.0,576.0,0,180000,2845.4,3.0,29.702
20,NAmes,1Story,6,BrkFace,Plywood,0.0,ALQ,Gd,1.0,2.0,578.0,0,190000,2560.0,2.5,24.488
90,NAmes,1Story,5,HdBoard,HdBoard,0.0,Unf,TA,0.0,2.0,576.0,0,135000,1604.0,2.0,52.0
20,NAmes,1Story,7,VinylSd,VinylSd,506.0,GLQ,Gd,0.0,2.0,620.0,300,214000,2311.6,3.0,3.748
20,NAmes,1Story,5,MetalSd,MetalSd,150.0,BLQ,TA,0.0,1.0,308.0,0,136000,1855.6,2.0,51.0
20,NAmes,1Story,5,BrkFace,BrkFace,0.0,Rec,Gd,1.0,2.0,447.0,0,165500,2412.6,2.0,51.0
20,NAmes,1Story,5,MetalSd,MetalSd,0.0,Rec,TA,0.0,1.0,294.0,0,145000,1959.4,2.0,53.0
20,NAmes,1Story,6,MetalSd,MetalSd,220.0,Unf,TA,0.0,1.0,312.0,0,148000,1194.0,2.0,51.0
20,NAmes,1Story,5,Plywood,Plywood,180.0,Rec,TA,0.0,2.0,531.0,0,142000,1888.0,2.0,51.0
20,NAmes,1Story,5,MetalSd,HdBoard,324.0,Rec,TA,2.0,2.0,461.0,0,167500,1751.9,2.0,50.0
20,NAmes,1Story,5,MetalSd,MetalSd,91.0,Rec,TA,0.0,1.0,312.0,0,108538,1861.1999999999998,1.0,51.0
20,NAmes,1Story,6,Wd Sdng,Wd Sdng,432.0,Rec,TA,2.0,2.0,440.0,0,159500,2093.8,2.5,51.0
50,NAmes,1.5Fin,4,MetalSd,MetalSd,0.0,Unf,TA,0.0,1.0,263.0,0,108000,1337.0,1.0,54.0
20,NAmes,1Story,5,WdShing,Wd Shng,0.0,BLQ,Fa,0.0,1.0,318.0,0,135000,1301.3,1.5,58.0
20,NAmes,1Story,5,MetalSd,MetalSd,0.0,Rec,TA,0.0,1.0,305.0,0,122500,1425.6,1.0,55.0
190,NAmes,1Story,5,MetalSd,MetalSd,0.0,Rec,TA,0.0,1.0,264.0,0,119000,1360.4,2.0,52.0
20,NAmes,1Story,5,VinylSd,VinylSd,0.0,GLQ,Gd,0.0,1.0,246.0,0,109000,1568.7,2.0,27.732000000000003
30,NAmes,1Story,4,MetalSd,MetalSd,0.0,Unf,TA,0.0,2.0,676.0,0,105000,985.0,1.5,49.891999999999996
20,NAmes,1Story,5,VinylSd,VinylSd,0.0,None,TA,1.0,1.0,392.0,0,107500,827.0,1.0,26.816000000000003
20,NAmes,1Story,5,Wd Sdng,Wd Sdng,104.0,ALQ,TA,0.0,2.0,490.0,0,144900,1563.4,2.0,29.442
20,NAmes,1Story,5,MetalSd,MetalSd,0.0,BLQ,TA,0.0,1.0,308.0,0,129000,1277.6,2.0,30.152
50,NAmes,1.5Fin,6,VinylSd,VinylSd,0.0,Unf,TA,1.0,1.0,330.0,0,97500,1458.0,1.5,60.916000000000004
90,OldTown,SFoyer,6,Plywood,Plywood,0.0,GLQ,TA,0.0,2.0,576.0,600,144000,1795.1999999999998,2.0,30.0
20,NAmes,1Story,5,Wd Sdng,Wd Sdng,0.0,ALQ,Gd,1.0,2.0,576.0,0,162000,1518.0,2.0,25.526
80,NAmes,SLvl,7,Wd Sdng,Wd Sdng,300.0,Unf,Gd,1.0,2.0,564.0,0,242000,2978.0,2.5,21.32
50,NAmes,1.5Fin,6,WdShing,Wd Shng,0.0,ALQ,TA,0.0,1.0,280.0,0,132000,1682.5,2.0,31.648
20,NAmes,1Story,5,BrkFace,BrkFace,0.0,LwQ,Gd,0.0,1.0,305.0,0,154000,2118.2,2.5,32.03
50,NAmes,1.5Fin,5,BrkFace,Wd Sdng,0.0,Rec,TA,0.0,2.0,720.0,0,166000,1739.9,2.0,58.0
20,NAmes,1Story,5,Wd Sdng,Wd Sdng,0.0,BLQ,Gd,0.0,2.0,576.0,0,134800,1404.0,1.5,32.442
20,NAmes,1Story,6,Wd Sdng,Wd Sdng,261.0,Unf,TA,0.0,2.0,440.0,0,160000,1116.0,1.5,48.0
20,NAmes,1Story,5,BrkFace,Wd Sdng,0.0,Rec,TA,0.0,2.0,484.0,0,148000,1831.6,1.5,50.0
20,NAmes,1Story,6,Wd Sdng,Wd Sdng,218.0,BLQ,TA,1.0,2.0,440.0,0,192000,2081.0,2.0,35.618
60,NAmes,2Story,6,MetalSd,MetalSd,351.0,Unf,TA,1.0,2.0,442.0,0,155000,1839.0,1.5,44.0
50,OldTown,1.5Fin,4,Wd Sdng,Wd Sdng,771.0,ALQ,TA,2.0,1.0,240.0,0,80400,1877.6,2.0,80.732
50,OldTown,1.5Fin,4,Wd Sdng,Wd Sdng,0.0,Unf,TA,0.0,0.0,0.0,0,96500,1140.0,1.0,49.05200000000001
30,OldTown,1Story,5,Wd Sdng,Wd Sdng,0.0,BLQ,TA,1.0,0.0,0.0,0,109500,1341.3,2.0,73.74000000000001
30,OldTown,1Story,5,WdShing,Wd Shng,0.0,Unf,TA,1.0,2.0,360.0,0,115000,1028.0,1.0,70.534
20,OldTown,1Story,5,MetalSd,MetalSd,0.0,BLQ,Gd,0.0,2.0,551.0,0,143000,2289.9,2.5,53.0
50,OldTown,2Story,3,VinylSd,VinylSd,0.0,Unf,TA,0.0,1.0,379.0,0,107400,1605.0,2.0,76.03
30,OldTown,1Story,4,MetalSd,MetalSd,0.0,Unf,TA,0.0,1.0,220.0,0,80000,747.0,1.0,62.290000000000006
30,OldTown,1Story,5,MetalSd,MetalSd,294.0,BLQ,Gd,2.0,1.0,240.0,0,119000,1161.0,2.0,41.816
50,OldTown,1.5Fin,5,Wd Sdng,Wd Sdng,0.0,LwQ,TA,0.0,2.0,484.0,0,130000,1574.1999999999998,2.0,41.976
45,OldTown,1.5Fin,6,MetalSd,MetalSd,0.0,Unf,Fa,0.0,1.0,240.0,0,119000,1251.0,1.0,38.396
50,OldTown,1.5Fin,5,VinylSd,VinylSd,0.0,BLQ,Gd,1.0,1.0,240.0,0,129000,2179.0,1.0,28.938000000000002
50,OldTown,1.5Fin,5,MetalSd,MetalSd,0.0,Rec,TA,0.0,1.0,315.0,0,100000,1368.2,1.0,67.236
30,OldTown,1Story,2,AsbShng,AsbShng,0.0,Unf,TA,1.0,2.0,780.0,0,12789,832.0,1.0,61.526
30,OldTown,1Story,6,VinylSd,VinylSd,0.0,Unf,TA,0.0,2.0,484.0,0,105900,720.0,1.0,41.35000000000001
70,OldTown,2Story,8,Wd Sdng,Wd Sdng,0.0,Unf,Gd,0.0,1.0,288.0,0,150000,1566.0,2.0,54.17400000000001
50,OldTown,1.5Fin,5,MetalSd,MetalSd,0.0,LwQ,TA,0.0,1.0,416.0,1200,139000,2132.2,3.0,76.03
70,OldTown,2Story,8,Wd Sdng,Wd Sdng,0.0,Unf,Gd,0.0,2.0,624.0,0,240000,2268.0,3.0,59.296
190,OldTown,2Story,5,MetalSd,MetalSd,0.0,Unf,Fa,0.0,0.0,0.0,0,76500,2256.0,2.0,78.32000000000001
20,OldTown,1Story,6,MetalSd,MetalSd,0.0,GLQ,TA,0.0,2.0,923.0,0,149700,1656.0,2.0,31.862000000000002
70,OldTown,2Story,4,VinylSd,VinylSd,0.0,Unf,TA,0.0,2.0,528.0,0,125500,1363.0,1.0,78.32000000000001
190,OldTown,2Story,4,VinylSd,AsbShng,0.0,Unf,TA,0.0,2.0,560.0,0,122500,2290.0,2.0,89.77000000000001
70,OldTown,2Story,6,Wd Sdng,Wd Sdng,0.0,Rec,TA,0.0,2.0,624.0,0,140750,1668.1,1.5,48.976
50,BrkSide,1.5Fin,5,MetalSd,MetalSd,0.0,Rec,TA,0.0,1.0,363.0,0,128500,2163.6,1.5,34.526
75,BrkSide,2.5Unf,7,Wd Sdng,Wd Sdng,0.0,BLQ,Gd,1.0,1.0,315.0,0,209500,2399.8,1.5,43.014
30,BrkSide,1Story,4,MetalSd,MetalSd,0.0,Rec,Gd,0.0,1.0,200.0,0,87000,896.6,2.0,71.45
50,BrkSide,1.5Fin,6,MetalSd,MetalSd,0.0,BLQ,TA,0.0,1.0,240.0,0,134000,1456.8,2.0,65.03800000000001
50,BrkSide,1.5Fin,6,MetalSd,MetalSd,0.0,LwQ,TA,2.0,2.0,576.0,0,128000,1380.8,2.0,64.58000000000001
50,BrkSide,1.5Fin,5,MetalSd,MetalSd,300.0,Rec,Gd,2.0,1.0,240.0,0,132000,1816.3,1.5,63.664
50,BrkSide,1.5Fin,6,Wd Sdng,Wd Sdng,0.0,Rec,TA,0.0,1.0,312.0,0,139900,1626.0,1.5,60.916000000000004
50,BrkSide,1.5Fin,5,VinylSd,VinylSd,0.0,Rec,TA,0.0,2.0,624.0,0,123900,1233.2,1.0,50.152
